properties.ADM2_EN,x,y
Bethlehem,35.29525890541689,31.634170429849366
Deir Al-Balah,34.37026222307585,31.42070655844748
Gaza,34.44554157151881,31.488063791141624
Hebron,35.09266975442262,31.488380417178945
Jenin,35.25619817958574,32.42367979067515
Jericho,35.47241750569397,31.967521217679572
Jerusalem,35.27869107338927,31.802060144951877
Khan Younis,34.32039245614601,31.336336894393575
Nablus,35.298781895335274,32.184259495232496
North Gaza,34.50995806559417,31.54367795141418
Qalqilya,35.06910947617858,32.18511549898386
Rafah,34.273813089169785,31.2820954267056
Ramallah,35.19784864211663,31.95489106379533
Salfit,35.11335002489243,32.10407919396814
Tubas,35.46345061655883,32.30454659200654
Tulkarm,35.08253661495207,32.313550424819624